datetime,Depth_meter,Water_Temperature_celsius
2016-07-17T02:00:00Z,7.0,7.52
2016-07-17T02:30:00Z,0.5,8.52
2016-07-17T02:30:00Z,2.0,7.88
2016-07-17T02:30:00Z,4.0,8
2016-07-17T02:30:00Z,6.0,7.5
2016-07-17T02:30:00Z,7.0,7.58
2016-07-17T03:00:00Z,0.5,8.52
2016-07-17T03:00:00Z,2.0,7.88
2016-07-17T03:00:00Z,4.0,8
2016-07-17T03:00:00Z,6.0,7.5
2016-07-17T03:00:00Z,7.0,7.52
2016-07-17T03:30:00Z,0.5,8.48
2016-07-17T03:30:00Z,2.0,7.88
2016-07-17T03:30:00Z,4.0,8
2016-07-17T03:30:00Z,6.0,7.5
2016-07-17T03:30:00Z,7.0,7.6
2016-07-17T04:00:00Z,0.5,8.46
2016-07-17T04:00:00Z,2.0,7.75
2016-07-17T04:00:00Z,4.0,8
2016-07-17T04:00:00Z,6.0,7.38
2016-07-17T04:00:00Z,7.0,7.54
2016-07-17T04:30:00Z,0.5,8.42
2016-07-17T04:30:00Z,2.0,7.75
2016-07-17T04:30:00Z,4.0,8
2016-07-17T04:30:00Z,6.0,7.38
2016-07-17T04:30:00Z,7.0,7.56
2016-07-17T05:00:00Z,0.5,8.4
2016-07-17T05:00:00Z,2.0,7.75
2016-07-17T05:00:00Z,4.0,8
2016-07-17T05:00:00Z,6.0,7.38
2016-07-17T05:00:00Z,7.0,7.52
2016-07-17T05:30:00Z,0.5,8.42
2016-07-17T05:30:00Z,2.0,7.75
2016-07-17T05:30:00Z,4.0,8
2016-07-17T05:30:00Z,6.0,7.38
2016-07-17T05:30:00Z,7.0,7.52
2016-07-17T06:00:00Z,0.5,8.42
2016-07-17T06:00:00Z,2.0,7.75
2016-07-17T06:00:00Z,4.0,7.75
2016-07-17T06:00:00Z,6.0,7.25
2016-07-17T06:00:00Z,7.0,7.44
2016-07-17T06:30:00Z,0.5,8.42
2016-07-17T06:30:00Z,2.0,7.75
2016-07-17T06:30:00Z,4.0,7.75
2016-07-17T06:30:00Z,6.0,7.25
2016-07-17T06:30:00Z,7.0,7.4
